ID,choice,rt,condition_int,state,contrast_left,contrast_right,reward,trials,blocks,contrast,ecoperf,condition
11,0,527,3,1,0.807174375,0.192825625,0,19,5,1,1,3
11,0,453,3,1,0.874907903,0.125092097,0,20,5,1,1,3
11,0,518,3,1,0.808963965,0.191036035,0,21,5,1,1,3
11,0,521,3,1,0.803889381,0.196110619,0,22,5,1,1,3
11,1,515,3,0,0.183106189,0.816893811,1,23,5,1,1,3
11,1,525,3,0,0.149239608,0.850760392,1,24,5,1,1,3
11,0,312,3,1,0.879963815,0.120036185,0,25,5,1,1,3
11,0,832,2,1,0.552572788,0.447427212,1,1,6,0,0,2
11,0,804,2,0,0.485837993,0.514162007,0,2,6,0,1,2
11,1,643,2,1,0.562925353,0.437074647,1,3,6,0,1,2
11,1,883,2,1,0.505553074,0.494446926,1,4,6,0,1,2
11,0,607,2,1,0.564820526,0.435179474,1,5,6,0,0,2
11,0,623,2,1,0.551832395,0.448167605,1,6,6,0,0,2
11,0,765,2,0,0.422213056,0.577786944,0,7,6,0,1,2
11,1,743,2,0,0.476048675,0.523951325,0,8,6,0,0,2
11,0,657,2,1,0.53495334,0.46504666,1,9,6,0,0,2
11,1,776,2,0,0.443018825,0.556981175,0,10,6,0,0,2
11,1,809,2,1,0.538765248,0.461234752,1,11,6,0,1,2
11,1,679,2,1,0.578327977,0.421672023,1,12,6,0,1,2
11,0,822,2,1,0.529961917,0.470038083,1,13,6,0,0,2
11,0,646,2,0,0.437131883,0.562868117,0,14,6,0,1,2
11,0,934,2,0,0.478888107,0.521111893,0,15,6,0,1,2
11,1,830,2,1,0.535079017,0.464920983,1,16,6,0,1,2
11,0,686,2,0,0.440711681,0.559288319,0,17,6,0,1,2
11,1,645,2,1,0.522181153,0.477818847,1,18,6,0,1,2
11,0,685,2,0,0.487687368,0.512312632,0,19,6,0,1,2
11,0,615,2,0,0.46244245,0.53755755,0,20,6,0,1,2
11,1,534,2,1,0.554784692,0.445215308,1,21,6,0,1,2
11,0,591,2,0,0.468847172,0.531152828,0,22,6,0,1,2
11,1,598,2,0,0.488301359,0.511698641,0,23,6,0,0,2
11,0,543,2,0,0.456478655,0.543521345,0,24,6,0,1,2
11,0,903,2,1,0.501741166,0.498258834,1,25,6,0,0,2
11,1,631,1,0,0.447907124,0.552092876,1,1,7,1,1,1
11,0,495,1,1,0.537842575,0.462157425,0,2,7,1,1,1
11,0,597,1,1,0.504759939,0.495240061,0,3,7,1,1,1
11,0,775,1,0,0.496033588,0.503966412,1,4,7,1,0,1
11,0,619,1,1,0.554169992,0.445830008,0,5,7,1,1,1
11,0,776,1,1,0.524639463,0.475360537,0,6,7,1,1,1
11,1,733,1,0,0.439302345,0.560697655,1,7,7,1,1,1
11,0,783,1,0,0.49760382,0.50239618,1,8,7,1,0,1
11,0,777,1,1,0.513771854,0.486228146,0,9,7,1,1,1
11,1,677,1,0,0.465048793,0.534951207,1,10,7,1,1,1
11,1,896,1,0,0.496046314,0.503953686,1,11,7,1,1,1
11,1,719,1,1,0.557137869,0.442862131,0,12,7,1,0,1
11,1,605,1,0,0.436049715,0.563950285,1,13,7,1,1,1
11,0,511,1,1,0.569724968,0.430275032,0,14,7,1,1,1
11,0,633,1,1,0.529876712,0.470123288,0,15,7,1,1,1
11,1,655,1,0,0.454632645,0.545367355,1,16,7,1,1,1
11,0,961,1,1,0.53598877,0.46401123,0,17,7,1,1,1
11,1,712,1,0,0.427179211,0.572820789,1,18,7,1,1,1
11,0,969,1,1,0.550103878,0.449896122,0,19,7,1,1,1
11,0,709,1,1,0.536017711,0.463982289,0,20,7,1,1,1
11,0,789,1,0,0.456873533,0.543126467,1,21,7,1,0,1
11,0,618,1,1,0.51408331,0.48591669,0,22,7,1,1,1
11,1,545,1,0,0.427997908,0.572002092,1,23,7,1,1,1
11,0,522,1,1,0.569033381,0.430966619,0,24,7,1,1,1
11,1,535,1,0,0.430687776,0.569312224,1,25,7,1,1,1
11,0,696,1,1,0.546274516,0.453725484,1,1,8,0,0,1
11,0,453,1,1,0.55966983,0.44033017,1,2,8,0,0,1
11,0,584,1,0,0.463163453,0.536836547,0,3,8,0,1,1
11,1,541,1,1,0.574861561,0.425138439,1,4,8,0,1,1
11,1,610,1,1,0.521827471,0.478172529,1,5,8,0,1,1
11,1,611,1,0,0.476643555,0.523356445,0,6,8,0,0,1
11,0,591,1,0,0.475405499,0.524594501,0,7,8,0,1,1
11,1,516,1,1,0.525681103,0.474318897,1,8,8,0,1,1
11,0,465,1,0,0.424494026,0.575505974,0,9,8,0,1,1
11,0,497,1,0,0.424804068,0.575195932,0,10,8,0,1,1
11,1,522,1,1,0.524635558,0.475364442,1,11,8,0,1,1
11,1,497,1,1,0.51944493,0.48055507,1,12,8,0,1,1
11,1,576,1,0,0.456827385,0.543172615,0,13,8,0,0,1
11,1,646,1,1,0.537120583,0.462879417,1,14,8,0,1,1
11,0,529,1,0,0.491775017,0.508224983,0,15,8,0,1,1
11,1,725,1,0,0.459934545,0.540065455,0,16,8,0,0,1
11,0,570,1,1,0.547847682,0.452152318,1,17,8,0,0,1
11,0,742,1,0,0.467112462,0.532887538,0,18,8,0,1,1
11,0,580,1,1,0.574154588,0.425845412,1,19,8,0,0,1
11,0,563,1,1,0.55430682,0.44569318,1,20,8,0,0,1
11,1,551,1,0,0.49410477,0.50589523,0,21,8,0,0,1
11,1,653,1,0,0.452115229,0.547884771,0,22,8,0,0,1
11,0,579,1,1,0.565394371,0.434605629,1,23,8,0,0,1
11,0,599,1,1,0.540302406,0.459697594,1,24,8,0,0,1
11,0,663,1,0,0.489072523,0.510927477,0,25,8,0,1,1
11,1,662,2,0,0.434218786,0.565781214,0,1,9,0,0,2
11,0,447,2,0,0.490866318,0.509133682,0,2,9,0,1,2
11,0,517,2,0,0.452442029,0.547557971,0,3,9,0,1,2
11,0,746,2,0,0.478446624,0.521553376,0,4,9,0,1,2
11,0,745,2,0,0.464115177,0.535884823,0,5,9,0,1,2
11,0,662,2,0,0.42252415,0.57747585,0,6,9,0,1,2
11,0,796,2,1,0.502732376,0.497267624,1,7,9,0,0,2
11,0,811,2,0,0.48379967,0.51620033,0,8,9,0,1,2
11,1,617,2,1,0.530295882,0.469704118,1,9,9,0,1,2
11,1,728,2,0,0.49962339,0.50037661,0,10,9,0,0,2
11,0,512,2,1,0.508837442,0.491162558,1,11,9,0,0,2
11,1,693,2,1,0.54300507,0.45699493,1,12,9,0,1,2
11,0,701,2,0,0.45295532,0.54704468,0,13,9,0,1,2
11,1,612,2,1,0.522546889,0.477453111,1,14,9,0,1,2
11,0,677,2,0,0.470295503,0.529704497,0,15,9,0,1,2
11,1,582,2,1,0.577130123,0.422869877,1,16,9,0,1,2
11,0,533,2,0,0.424359564,0.575640436,0,17,9,0,1,2
11,0,556,2,0,0.474763346,0.525236654,0,18,9,0,1,2
11,1,496,2,1,0.579455036,0.420544964,1,19,9,0,1,2
11,1,475,2,1,0.520214357,0.479785643,1,20,9,0,1,2
11,1,447,2,1,0.532665291,0.467334709,1,21,9,0,1,2
11,1,535,2,1,0.51353505,0.48646495,1,22,9,0,1,2
11,1,568,2,0,0.481393412,0.518606588,0,23,9,0,0,2
11,1,579,2,1,0.52204424,0.47795576,1,24,9,0,1,2
11,1,570,2,1,0.530545289,0.469454711,1,25,9,0,1,2
11,1,694,3,0,0.169985265,0.830014735,1,1,10,1,1,3
11,0,449,3,1,0.856071962,0.143928038,0,2,10,1,1,3
11,0,489,3,1,0.850749126,0.149250874,0,3,10,1,1,3
11,0,559,3,1,0.807375131,0.192624869,0,4,10,1,1,3
11,0,459,3,1,0.870220649,0.129779351,0,5,10,1,1,3
11,1,351,3,0,0.13763498,0.86236502,1,6,10,1,1,3
11,0,318,3,1,0.806497046,0.193502954,0,7,10,1,1,3
11,0,429,3,1,0.804247602,0.195752398,0,8,10,1,1,3
11,1,381,3,0,0.171358336,0.828641664,1,9,10,1,1,3
11,1,433,3,0,0.15838038,0.84161962,1,10,10,1,1,3
