ID,choice,rt,choice_cond,state,contrast_left,contrast_right,mu,correct,trials,blocks,contrast,congruence,con_diff_choice,ecoperf,mu_congruence,condition,actual_mu,est_error
405,1,"[699.8000000715256]",2,1,0.511879789400594,0.488120210599405,0.89,1,24,1,0,1,0.023759578801189,1,0.89,2,0.9,0.01
405,1,"[977.2000000476837]",2,1,0.575800776588693,0.424199223411306,0.9,0,25,1,0,1,0.151601553177387,1,0.9,2,0.9,0
405,0,"[658.5]",3,1,0.904107587807066,0.0958924121929339,0.94,1,1,2,1,1,0.808215175614132,1,0.94,3,0.7,0.24
405,1,"[457.40000009536743]",3,0,0.142806287076267,0.857193712923732,0.58,0,2,2,1,1,0.714387425847465,1,0.58,3,0.7,0.12
405,1,"[420.2000000476837]",3,0,0.118503699092403,0.881496300907596,0.6,1,3,2,1,1,0.762992601815193,1,0.6,3,0.7,0.1
405,0,"[376.7000000476837]",3,1,0.858806733240026,0.141193266759973,0.57,0,4,2,1,1,0.717613466480053,1,0.57,3,0.7,0.13
405,1,"[430.7000000476837]",3,0,0.112671936752658,0.887328063247341,0.56,0,5,2,1,1,0.774656126494683,1,0.56,3,0.7,0.14
405,0,"[510.59999990463257]",3,0,0.0658017351540727,0.934198264845927,0.44,0,6,2,1,1,0.868396529691854,0,0.44,3,0.7,0.26
405,0,"[428.10000002384186]",3,1,0.853884524197742,0.146115475802257,0.55,1,7,2,1,1,0.707769048395485,1,0.55,3,0.7,0.15
405,1,"[417]",3,0,0.114379590996725,0.885620409003274,0.54,1,8,2,1,1,0.771240818006549,1,0.54,3,0.7,0.16
405,1,"[353.8000000715256]",3,0,0.0588523475262517,0.941147652473748,0.57,0,9,2,1,1,0.882295304947496,1,0.57,3,0.7,0.13
405,0,"[487.59999990463257]",3,1,0.944547644277248,0.0554523557227513,0.63,1,10,2,1,1,0.889095288554497,1,0.63,3,0.7,0.07
405,0,"[418.7000000476837]",3,1,0.908530753173729,0.0914692468262703,0.56,0,11,2,1,1,0.817061506347459,1,0.56,3,0.7,0.14
405,0,"[440.3000000715256]",3,1,0.918747458240692,0.0812525417593077,0.6,1,12,2,1,1,0.837494916481384,1,0.6,3,0.7,0.1
405,1,"[525.1000000238419]",3,1,0.875335377219599,0.1246646227804,0.63,0,13,2,1,1,0.750670754439199,0,0.63,3,0.7,0.07
405,0,"[312.7000000476837]",3,1,0.912167661637768,0.0878323383622315,0.61,1,14,2,1,1,0.824335323275536,1,0.61,3,0.7,0.09
405,1,"[394.59999990463257]",3,0,0.132881236626528,0.867118763373471,0.66,1,15,2,1,1,0.734237526746943,1,0.66,3,0.7,0.0399999999999999
405,1,"[395.7000000476837]",3,0,0.0640623737572138,0.935937626242786,0.66,0,16,2,1,1,0.871875252485572,1,0.66,3,0.7,0.0399999999999999
405,1,"[512.3999999761581]",3,0,0.0565471875976746,0.943452812402325,0.64,1,17,2,1,1,0.88690562480465,1,0.64,3,0.7,0.0599999999999999
405,0,"[386.60000002384186]",3,1,0.88703941618716,0.112960583812839,0.65,0,18,2,1,1,0.774078832374321,1,0.65,3,0.7,0.0499999999999999
405,0,"[475.89999997615814]",3,1,0.872034149918282,0.127965850081717,0.7,1,19,2,1,1,0.744068299836565,1,0.7,3,0.7,0
405,1,"[386.2999999523163]",3,0,0.127138240810569,0.87286175918943,0.64,1,20,2,1,1,0.745723518378861,1,0.64,3,0.7,0.0599999999999999
405,1,"[320.10000002384186]",3,0,0.0818810185673841,0.918118981432615,0.66,1,21,2,1,1,0.836237962865231,1,0.66,3,0.7,0.0399999999999999
405,0,"[436.59999990463257]",3,1,0.874685474291129,0.125314525708871,0.69,0,22,2,1,1,0.749370948582258,1,0.69,3,0.7,0.01
405,1,"[416]",3,0,0.0921606662337647,0.907839333766235,0.67,1,23,2,1,1,0.81567866753247,1,0.67,3,0.7,0.0299999999999999
405,0,"[360.7000000476837]",3,1,0.885257900441684,0.114742099558315,0.72,1,24,2,1,1,0.770515800883369,1,0.72,3,0.7,0.02
405,0,"[427.5]",3,1,0.889351669934955,0.110648330065044,0.7,1,25,2,1,1,0.778703339869911,1,0.7,3,0.7,0
405,0,"[465.10000002384186]",3,1,0.906513802382482,0.0934861976175174,0.21,1,1,3,1,0,0.813027604764965,1,0.79,3,0.7,0.0900000000000001
405,0,"[850.6000000238419]",3,0,0.0707263338977875,0.929273666102212,0.39,1,2,3,1,0,0.858547332204424,0,0.61,3,0.7,0.09
405,0,"[626.1999999284744]",3,0,0.0523223474771817,0.947677652522818,0.34,0,3,3,1,0,0.895355305045636,0,0.66,3,0.7,0.0399999999999999
405,1,"[446.7999999523163]",3,0,0.0723717097999404,0.927628290200059,0.39,0,4,3,1,0,0.855256580400119,1,0.61,3,0.7,0.09
405,1,"[403.40000009536743]",3,1,0.866350163027413,0.133649836972586,0.42,1,5,3,1,0,0.732700326054827,0,0.58,3,0.7,0.12
405,0,"[473.5]",3,0,0.12331698737975,0.876683012620249,0.4,0,6,3,1,0,0.753366025240499,0,0.6,3,0.7,0.1
405,1,"[826.8000000715256]",3,1,0.861687285429993,0.138312714570006,0.36,0,7,3,1,0,0.723374570859987,0,0.64,3,0.7,0.0599999999999999
405,0,"[395]",3,1,0.878502117780785,0.121497882219214,0.39,1,8,3,1,0,0.757004235561571,1,0.61,3,0.7,0.09
405,0,"[360.8000000715256]",3,1,0.85571954677438,0.144280453225619,0.46,0,9,3,1,0,0.711439093548761,1,0.54,3,0.7,0.16
405,1,"[527.2000000476837]",3,1,0.90131817781598,0.0986818221840197,0.4,0,10,3,1,0,0.80263635563196,0,0.6,3,0.7,0.1
405,0,"[700.2000000476837]",3,0,0.148660986936292,0.851339013063707,0.31,0,11,3,1,0,0.702678026127415,0,0.69,3,0.7,0.01
405,1,"[446.10000002384186]",3,0,0.0540946776845575,0.945905322315442,0.4,0,12,3,1,0,0.891810644630884,1,0.6,3,0.7,0.1
405,1,"[575.5,682]",3,0,0.134732200857872,0.865267799142127,0.5,1,13,3,1,0,0.730535598284255,1,0.5,3,0.7,0.2
405,0,"[372.89999997615814]",3,1,0.870991908347841,0.129008091652158,0.5,1,14,3,1,0,0.741983816695683,1,0.5,3,0.7,0.2
