state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence
1,0,0,0.457930301618727,0.542069698381273,0.514023232793758,1,0,0.0157894736842105,0.153222565961304,NaN,NaN,0.5,NaN
1,1,1,0.402108627942177,0.597891372057823,0.546398913065349,2,1,0.0368421052631579,0.360333257343568,NaN,NaN,0.497254493002266,NaN
0,1,0,0.428696687869347,0.571303312130653,0.522829420264383,3,0,-0.0894736842105263,0.260856496565649,NaN,NaN,0.493383207638357,NaN
1,1,1,0.6061340839858,0.3938659160142,0.487553696101669,4,1,0.0789473684210526,-0.391582519798713,NaN,NaN,0.504845959215374,NaN
1,1,1,0.711038679715359,0.288961320284641,0.419053880984215,5,1,0.0473684210526316,-0.817833611257463,NaN,NaN,0.49474669691592,NaN
1,1,1,0.42303993339279,0.57696006660721,0.44314243273566,6,1,0.0157894736842105,0.281871754400141,NaN,NaN,0.5124592374221,NaN
0,0,1,0.442609383213441,0.557390616786559,0.425483997282454,7,1,-0.1,0.209451149029267,NaN,NaN,0.506526181708568,NaN
0,1,0,0.490927307081351,0.509072692918649,0.422715999120832,8,0,-0.0368421052631579,0.0329694006896474,NaN,NaN,0.501352121620363,NaN
0,1,0,0.544532530787161,0.455467469212839,0.436485990250804,9,0,-0.0894736842105263,-0.162238823976257,NaN,NaN,0.493116695702987,NaN
0,1,0,0.563395802261689,0.436604197738311,0.456395628319053,10,0,-0.0473684210526316,-0.231593820440758,NaN,NaN,0.491946956794186,NaN
0,1,0,0.4366854786372,0.5633145213628,0.436787560734783,11,0,-0.0578947368421053,0.231293674884612,NaN,NaN,0.50552157984461,NaN
1,0,0,0.45989067834457,0.54010932165543,0.449256998239524,12,0,0.0263157894736842,0.146051152906388,NaN,NaN,0.505070816118226,NaN
0,1,0,0.540764174953045,0.459235825046955,0.462026142642822,13,0,-0.068421052631579,-0.148446209705011,NaN,NaN,0.495863006797187,NaN
1,1,1,0.435501266964315,0.564498733035685,0.482407931690341,14,1,0.0578947368421053,0.235667855037629,NaN,NaN,0.504898531376032,NaN
0,0,1,0.389238174544756,0.610761825455244,0.447820534173291,15,1,-0.0157894736842105,0.409226147705385,NaN,NaN,0.503897059199022,NaN
1,0,0,0.553599809447339,0.446400190552661,0.431533130547295,16,0,0.0157894736842105,-0.19550564277012,NaN,NaN,0.494406381149249,NaN
1,0,0,0.43377404340099,0.56622595659901,0.451932288944457,17,0,0.0473684210526316,0.242052664804884,NaN,NaN,0.50906856784969,NaN
0,1,0,0.610177936897502,0.389822063102498,0.486485014545353,18,0,-0.0263157894736842,-0.406995910451686,NaN,NaN,0.48940799752903,NaN
0,1,0,0.494544022196978,0.505455977803022,0.48479672932829,19,0,-0.00526315789473684,0.0198251763857868,NaN,NaN,0.500147474921298,NaN
