state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence
0,0,1,1,0,0.956521739130435,22,1,-0.068421052631579,-0.0955633736385862,NaN,NaN,0.956521739130435,NaN
1,1,1,0,1,0.958333333333333,23,1,0.0473684210526316,0.00712433703123311,NaN,NaN,0.0416666666666666,NaN
1,1,1,0,1,0.96,24,1,0.1,0.128747133750111,NaN,NaN,0.04,NaN
0,0,1,1,0,0.961538461538462,25,1,-0.068421052631579,-0.102480467186097,NaN,NaN,0.961538461538462,NaN
1,0,0,0,1,0.5,1,0,0.1,0.0572245924826084,NaN,NaN,0.5,NaN
0,0,1,1,0,0.666666666666667,2,1,-0.0578947368421053,-0.0566898965864325,NaN,NaN,0.666666666666667,NaN
0,1,0,0,1,0.75,3,0,-0.00526315789473684,0.0229161817729593,NaN,NaN,0.25,NaN
1,1,1,0,1,0.6,4,1,0.0894736842105263,0.0966317494738896,NaN,NaN,0.4,NaN
0,0,1,1,0,0.666666666666667,5,1,-0.0894736842105263,-0.161879588135339,NaN,NaN,0.666666666666667,NaN
0,0,1,1,0,0.714285714285714,6,1,-0.0894736842105263,-0.103456928257571,NaN,NaN,0.714285714285714,NaN
0,0,1,1,0,0.75,7,1,-0.0789473684210526,-0.0979165836947107,NaN,NaN,0.75,NaN
1,0,0,1,0,0.777777777777778,8,0,0.0368421052631579,-0.0115462548836468,NaN,NaN,0.777777777777778,NaN
0,0,1,1,0,0.700000000000003,9,1,-0.0473684210526316,-0.068124542216873,NaN,NaN,0.700000000000003,NaN
0,0,1,1,0,0.72727272727272,10,1,-0.1,-0.104818689761647,NaN,NaN,0.72727272727272,NaN
0,0,1,1,0,0.750000000000007,11,1,-0.0894736842105263,-0.136834013215831,NaN,NaN,0.750000000000007,NaN
0,1,0,0,1,0.769230769230759,12,0,-0.0263157894736842,0.0255161648283998,NaN,NaN,0.230769230769241,NaN
0,0,1,1,0,0.714285714285666,13,1,-0.0263157894736842,-0.0234683290350497,NaN,NaN,0.714285714285666,NaN
0,1,0,0,1,0.733333333333405,14,0,-0.0263157894736842,0.00609705703579129,NaN,NaN,0.266666666666595,NaN
1,1,1,0,1,0.687499999999545,15,1,0.0578947368421053,0.0221549815074038,NaN,NaN,0.312500000000455,NaN
0,0,1,1,0,0.70588235294008,16,1,-0.0894736842105263,-0.164615241470026,NaN,NaN,0.70588235294008,NaN
1,1,1,0,1,0.722222222221717,17,1,0.1,0.0907491826377921,NaN,NaN,0.277777777778283,NaN
1,0,0,1,0,0.73684210526244,18,0,0.00526315789473684,-0.026378884674882,NaN,NaN,0.73684210526244,NaN
1,1,1,0,1,0.700000000000728,19,1,0.0578947368421053,0.055052415980936,NaN,NaN,0.299999999999272,NaN
1,1,1,0,1,0.714285714258949,20,1,0.1,0.109718630459192,NaN,NaN,0.285714285741051,NaN
0,0,1,1,0,0.727272727297532,21,1,-0.0263157894736842,-0.0010804719839559,NaN,NaN,0.727272727297532,NaN
1,1,1,0,1,0.739130434783874,22,1,0.0578947368421053,0.061231936253968,NaN,NaN,0.260869565216126,NaN
0,0,1,1,0,0.750000000010914,23,1,-0.0578947368421053,-0.0302240491141339,NaN,NaN,0.750000000010914,NaN
0,0,1,1,0,0.760000000023865,24,1,-0.0157894736842105,-0.0498467748270306,NaN,NaN,0.760000000023865,NaN
0,0,1,1,0,0.769230769168644,25,1,-0.0789473684210526,-0.0910699443131546,NaN,NaN,0.769230769168644,NaN
0,1,0,0,1,0.5,1,0,-0.0157894736842105,0.0102429151664799,NaN,NaN,0.5,NaN
0,1,0,1,0,0.333333333333333,2,0,-0.0473684210526316,-0.0581483604887269,NaN,NaN,0.333333333333333,NaN
1,1,1,0,1,0.5,3,1,0.0263157894736842,0.0142445988164585,NaN,NaN,0.5,NaN
1,1,1,0,1,0.6,4,1,0.00526315789473684,0.0106513566112561,NaN,NaN,0.4,NaN
